               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013331,            0.029017,            0.011768,             0.97138,             0.96518,             0.98953,              0.8707,            0.013577,            0.026171,           0.0061282,              0.0856,              0.0016,              0.0016
                   1,            0.014413,            0.025505,           0.0088922,              0.9729,             0.97464,             0.99212,               0.849,            0.015799,            0.025086,           0.0066499,            0.070267,           0.0032673,           0.0032673
                   2,            0.015473,            0.021447,            0.009666,             0.96916,             0.97228,             0.99036,              0.8843,            0.013007,            0.023139,           0.0053978,            0.054901,            0.004901,            0.004901
                   3,            0.017096,             0.02279,            0.008525,             0.96477,             0.97833,             0.99176,             0.82218,            0.018517,            0.025698,           0.0056237,            0.039501,            0.006501,            0.006501
                   4,            0.019274,            0.022034,            0.009129,             0.98083,             0.95679,             0.99288,             0.83434,            0.018059,            0.025527,            0.010607,            0.024067,           0.0080674,           0.0080674
                   5,            0.020535,            0.025346,           0.0091868,             0.98224,             0.96203,             0.99027,             0.86011,            0.014697,            0.022841,           0.0064226,            0.009505,            0.009505,            0.009505
                   6,            0.018291,            0.023312,           0.0087311,             0.97764,             0.96904,             0.98939,             0.83032,            0.016159,            0.024774,           0.0052008,            0.009505,            0.009505,            0.009505
                   7,            0.018047,            0.025575,           0.0082785,             0.98183,             0.96673,              0.9867,             0.73193,            0.018746,            0.026179,           0.0069924,            0.009406,            0.009406,            0.009406
                   8,            0.019577,            0.024282,           0.0099473,             0.97582,             0.98052,               0.991,             0.82457,            0.017974,            0.026165,           0.0054891,            0.009307,            0.009307,            0.009307
                   9,            0.018891,            0.021964,           0.0087089,             0.97511,             0.98508,             0.99136,             0.82166,             0.01703,            0.025028,            0.003689,            0.009208,            0.009208,            0.009208
                  10,            0.018931,             0.02259,            0.008913,              0.9812,              0.9738,             0.99261,             0.72111,            0.023212,             0.02574,           0.0037413,            0.009109,            0.009109,            0.009109
                  11,            0.020884,            0.022668,           0.0091817,             0.99019,             0.98366,             0.99418,             0.79813,            0.018317,            0.022352,           0.0030874,             0.00901,             0.00901,             0.00901
                  12,            0.019127,            0.021234,           0.0096973,             0.97411,             0.98913,             0.99123,             0.80328,             0.01961,            0.023608,           0.0059808,            0.008911,            0.008911,            0.008911
                  13,            0.019454,            0.021705,           0.0095041,             0.98442,             0.97745,             0.99141,             0.79661,            0.020239,            0.023324,           0.0068666,            0.008812,            0.008812,            0.008812
                  14,            0.017476,            0.023473,           0.0083572,             0.97805,              0.9636,             0.98795,             0.80756,            0.019757,             0.02185,            0.011299,            0.008713,            0.008713,            0.008713
                  15,            0.018928,            0.021385,           0.0074844,              0.9755,             0.96978,             0.98911,             0.84256,            0.015711,            0.021215,            0.010366,            0.008614,            0.008614,            0.008614
                  16,             0.01792,            0.020808,           0.0086368,             0.98254,             0.97901,              0.9939,             0.83326,            0.016748,            0.023378,           0.0056976,            0.008515,            0.008515,            0.008515
                  17,            0.017985,            0.023101,           0.0095071,             0.98553,             0.98139,             0.99369,             0.79557,            0.020957,            0.023363,           0.0047206,            0.008416,            0.008416,            0.008416
                  18,            0.016474,            0.019097,           0.0088626,             0.98612,             0.97992,              0.9914,             0.77944,            0.018292,            0.025314,           0.0050156,            0.008317,            0.008317,            0.008317
                  19,            0.017953,            0.021231,           0.0075204,             0.97121,             0.97747,             0.99303,             0.88565,            0.014324,            0.023019,            0.007711,            0.008218,            0.008218,            0.008218
                  20,            0.016527,            0.020318,           0.0078339,             0.97062,             0.98799,             0.99203,             0.87415,            0.014586,            0.023877,           0.0073719,            0.008119,            0.008119,            0.008119
                  21,            0.015806,            0.020671,           0.0080151,             0.98858,             0.98254,             0.99165,             0.86596,            0.016132,            0.022814,           0.0061385,             0.00802,             0.00802,             0.00802
                  22,            0.015674,            0.019833,           0.0081127,              0.9891,             0.97798,             0.99408,             0.87433,            0.014768,            0.024412,           0.0049495,            0.007921,            0.007921,            0.007921
                  23,            0.016948,            0.020164,           0.0077534,             0.98643,              0.9836,             0.99437,             0.84423,            0.015446,            0.025186,           0.0045487,            0.007822,            0.007822,            0.007822
                  24,            0.015943,            0.020759,           0.0082668,             0.98222,             0.98056,             0.99398,             0.86056,            0.015244,            0.023034,           0.0046332,            0.007723,            0.007723,            0.007723
                  25,            0.016219,            0.021399,           0.0066417,             0.98366,             0.97766,             0.99394,             0.83653,            0.015565,            0.022113,           0.0043742,            0.007624,            0.007624,            0.007624
                  26,            0.014915,            0.017472,           0.0081915,             0.98613,             0.98158,              0.9918,              0.8744,            0.015843,            0.025031,           0.0035336,            0.007525,            0.007525,            0.007525
                  27,            0.016032,            0.020024,           0.0062735,             0.98477,             0.98731,             0.99223,             0.86485,            0.014693,            0.023752,           0.0024478,            0.007426,            0.007426,            0.007426
                  28,            0.015963,            0.019338,           0.0073017,             0.98398,             0.98781,             0.99255,             0.89967,            0.013778,            0.023709,           0.0027354,            0.007327,            0.007327,            0.007327
                  29,            0.014752,            0.019629,           0.0065979,             0.98271,             0.98902,             0.99304,             0.87558,            0.017335,            0.023989,           0.0030007,            0.007228,            0.007228,            0.007228
                  30,             0.01489,            0.019706,           0.0074237,             0.98749,             0.98855,             0.99265,              0.8915,            0.013163,            0.020703,           0.0025303,            0.007129,            0.007129,            0.007129
                  31,            0.014403,            0.018731,           0.0062102,             0.98804,             0.99342,             0.99339,             0.89323,            0.013465,             0.02181,           0.0025484,             0.00703,             0.00703,             0.00703
                  32,            0.014539,            0.020046,           0.0069218,              0.9912,             0.98466,             0.99448,             0.83305,            0.017487,             0.02206,           0.0030117,            0.006931,            0.006931,            0.006931
                  33,            0.014867,            0.018322,           0.0075168,             0.98781,             0.98233,             0.99457,             0.88553,            0.013709,            0.021749,             0.00307,            0.006832,            0.006832,            0.006832
                  34,            0.013908,            0.019484,           0.0072035,             0.99366,             0.97852,             0.99467,             0.89539,            0.012257,            0.020828,           0.0025674,            0.006733,            0.006733,            0.006733
                  35,            0.015136,            0.018394,           0.0060851,             0.98694,             0.98995,             0.99435,             0.88694,            0.013317,            0.021999,           0.0031704,            0.006634,            0.006634,            0.006634
                  36,              0.0151,              0.0188,           0.0060333,             0.98828,             0.98961,             0.99385,              0.8937,            0.012807,            0.022218,            0.003754,            0.006535,            0.006535,            0.006535
                  37,            0.014855,             0.01905,           0.0064283,             0.99132,             0.98293,             0.99432,             0.90348,             0.01418,            0.022437,           0.0040611,            0.006436,            0.006436,            0.006436
                  38,            0.013553,             0.01916,           0.0074073,             0.98921,              0.9854,             0.99371,             0.90477,            0.011941,            0.021379,           0.0046641,            0.006337,            0.006337,            0.006337
                  39,            0.014487,            0.017393,           0.0070541,             0.99144,             0.98603,             0.99399,             0.89198,            0.012852,            0.022214,           0.0047975,            0.006238,            0.006238,            0.006238
                  40,            0.014371,            0.018766,           0.0067697,             0.99133,             0.99081,             0.99356,             0.90587,            0.012282,            0.021713,           0.0046789,            0.006139,            0.006139,            0.006139
                  41,            0.014022,            0.019326,           0.0058158,             0.99187,             0.98653,             0.99368,             0.89408,            0.013104,            0.021866,           0.0050025,             0.00604,             0.00604,             0.00604
                  42,             0.01268,            0.018023,           0.0061896,             0.98585,             0.98657,             0.99298,             0.90611,            0.014238,             0.02344,           0.0049878,            0.005941,            0.005941,            0.005941
