epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.247,1.10073,1.74699,1.17548,0.65035,0.73606,0.69679,0.47731,0.93688,0.93329,1.08133,0.000302478,0.000302478,0.000302478
2,642.652,1.0508,1.08709,1.13292,0.7523,0.79671,0.83328,0.59193,0.90467,0.74349,1.04659,0.00060248,0.00060248,0.00060248
3,960.189,1.05516,1.00843,1.13085,0.86062,0.82288,0.90077,0.63841,0.91743,0.62704,1.06545,0.000899484,0.000899484,0.000899484
4,1278.62,1.03784,0.93152,1.13098,0.88614,0.84749,0.92321,0.66521,0.90252,0.56615,1.04871,0.000895501,0.000895501,0.000895501
5,1594.64,1.02113,0.84161,1.1194,0.89895,0.85233,0.92887,0.67274,0.87371,0.53415,1.03871,0.000891002,0.000891002,0.000891002
6,1910.71,0.98781,0.79888,1.10787,0.90318,0.88366,0.94108,0.68349,0.8579,0.49416,1.02504,0.000886502,0.000886502,0.000886502
7,2227.23,0.99883,0.82582,1.12029,0.90902,0.89919,0.94901,0.69411,0.86525,0.49612,1.02451,0.000882003,0.000882003,0.000882003
8,2544.52,0.95537,0.7315,1.09339,0.92486,0.90616,0.95993,0.70221,0.84465,0.46941,1.01919,0.000877503,0.000877503,0.000877503
9,2862.41,0.96257,0.70956,1.09486,0.93178,0.91163,0.96147,0.70943,0.84305,0.45906,1.0191,0.000873004,0.000873004,0.000873004
10,3212.54,0.94425,0.69579,1.08424,0.9282,0.91205,0.95824,0.7168,0.81115,0.49672,1.00777,0.000868504,0.000868504,0.000868504
11,3529.07,0.90692,0.65531,1.05828,0.91559,0.91166,0.95774,0.71261,0.81506,0.45158,1.00493,0.000864004,0.000864004,0.000864004
12,3845.04,0.90855,0.65175,1.06741,0.94519,0.9162,0.96668,0.72339,0.80971,0.4202,1.00723,0.000859505,0.000859505,0.000859505
13,4162.2,0.90224,0.62019,1.06256,0.93136,0.94899,0.97004,0.73326,0.80722,0.4043,0.99947,0.000855005,0.000855005,0.000855005
14,4479.29,0.89865,0.61933,1.06796,0.93921,0.92929,0.96599,0.73457,0.79228,0.40274,0.99411,0.000850506,0.000850506,0.000850506
15,4795.63,0.85832,0.58626,1.03391,0.94287,0.93363,0.96905,0.73195,0.78352,0.42838,0.99312,0.000846006,0.000846006,0.000846006
16,5112.35,0.86434,0.59171,1.0458,0.94522,0.94459,0.9754,0.75184,0.76148,0.38371,0.9816,0.000841507,0.000841507,0.000841507
17,5429.47,0.86637,0.58612,1.05014,0.94593,0.95997,0.97936,0.7523,0.75541,0.37519,0.97934,0.000837007,0.000837007,0.000837007
18,5745.77,0.84688,0.56935,1.04001,0.95225,0.94824,0.97748,0.7484,0.75886,0.36852,0.98322,0.000832508,0.000832508,0.000832508
19,6062.37,0.83144,0.56103,1.03008,0.95284,0.94778,0.97691,0.75652,0.75377,0.37212,0.98081,0.000828008,0.000828008,0.000828008
20,6380.59,0.82274,0.55595,1.02804,0.94263,0.93591,0.97433,0.75104,0.74651,0.37922,0.97162,0.000823509,0.000823509,0.000823509
21,6698.91,0.8048,0.53848,1.01331,0.95599,0.94962,0.97765,0.76443,0.72616,0.3518,0.96818,0.000819009,0.000819009,0.000819009
22,7017.17,0.80498,0.53619,1.01663,0.95999,0.95169,0.98114,0.76352,0.72596,0.35183,0.97013,0.000814509,0.000814509,0.000814509
23,7334.94,0.80718,0.54139,1.02559,0.9643,0.94742,0.97975,0.76611,0.72925,0.35606,0.96997,0.00081001,0.00081001,0.00081001
24,7652.19,0.7797,0.51358,1.00921,0.95977,0.94753,0.97458,0.76166,0.72513,0.34322,0.96756,0.00080551,0.00080551,0.00080551
25,7969,0.80074,0.53176,1.01633,0.95392,0.96291,0.97898,0.76761,0.71228,0.34267,0.96437,0.000801011,0.000801011,0.000801011
26,8285.55,0.78722,0.53034,1.00997,0.95987,0.95762,0.97986,0.76868,0.71337,0.33827,0.96465,0.000796511,0.000796511,0.000796511
27,8605.43,0.77075,0.50155,1.00776,0.95136,0.9517,0.97994,0.76283,0.70766,0.34196,0.96553,0.000792012,0.000792012,0.000792012
28,8920.1,0.7769,0.50374,1.00296,0.96834,0.95483,0.98185,0.77388,0.70189,0.32463,0.95857,0.000787512,0.000787512,0.000787512
29,9234.02,0.75286,0.49541,0.98953,0.9594,0.95907,0.98173,0.78073,0.69661,0.33683,0.95187,0.000783013,0.000783013,0.000783013
30,9549.74,0.72942,0.50376,0.98163,0.9555,0.96496,0.98045,0.77597,0.68719,0.33733,0.95671,0.000778513,0.000778513,0.000778513
31,9865.7,0.74179,0.49102,0.98168,0.95859,0.96737,0.98087,0.784,0.68159,0.32563,0.95025,0.000774013,0.000774013,0.000774013
32,10181.6,0.73821,0.48248,0.98338,0.95735,0.95701,0.9779,0.77948,0.68621,0.33347,0.95268,0.000769514,0.000769514,0.000769514
33,10496.6,0.7406,0.48436,0.99286,0.96317,0.96476,0.98262,0.78729,0.66789,0.32626,0.94552,0.000765014,0.000765014,0.000765014
34,10809.8,0.7227,0.48102,0.97918,0.96131,0.96847,0.98124,0.78997,0.65862,0.31739,0.945,0.000760515,0.000760515,0.000760515
35,11123.9,0.73676,0.48901,0.98533,0.96385,0.96584,0.97801,0.7844,0.66438,0.3142,0.94546,0.000756015,0.000756015,0.000756015
36,11438.7,0.71313,0.47016,0.97495,0.96671,0.96568,0.98178,0.7958,0.6452,0.3097,0.9405,0.000751516,0.000751516,0.000751516
37,11752,0.7166,0.47222,0.98578,0.95759,0.97485,0.98119,0.79769,0.6407,0.3087,0.93817,0.000747016,0.000747016,0.000747016
38,12065.3,0.72225,0.47423,0.98226,0.9663,0.97446,0.98191,0.7923,0.65737,0.30874,0.94247,0.000742517,0.000742517,0.000742517
39,12377.9,0.68636,0.4515,0.95968,0.96353,0.97343,0.98081,0.80382,0.6474,0.30491,0.94014,0.000738017,0.000738017,0.000738017
40,12691.7,0.70132,0.46252,0.97135,0.96447,0.96327,0.9795,0.80141,0.6458,0.31485,0.93522,0.000733518,0.000733518,0.000733518
41,13006.6,0.68965,0.45688,0.96699,0.95864,0.97033,0.98181,0.79871,0.63261,0.30568,0.9343,0.000729018,0.000729018,0.000729018
42,13321,0.67185,0.43681,0.9553,0.96636,0.96896,0.9817,0.80205,0.62398,0.29702,0.93226,0.000724518,0.000724518,0.000724518
43,13634.9,0.66729,0.43469,0.95139,0.96169,0.96633,0.98012,0.81263,0.6175,0.29075,0.92895,0.000720019,0.000720019,0.000720019
44,13949.7,0.67837,0.42871,0.96169,0.96332,0.97267,0.98159,0.80871,0.63534,0.30107,0.93477,0.000715519,0.000715519,0.000715519
45,14264.4,0.66401,0.42454,0.9522,0.96544,0.97625,0.98276,0.81247,0.61179,0.2798,0.92844,0.00071102,0.00071102,0.00071102
46,14577.9,0.65605,0.43042,0.95346,0.96224,0.96992,0.97892,0.7983,0.61833,0.29548,0.93123,0.00070652,0.00070652,0.00070652
47,14892,0.65127,0.42318,0.9526,0.96168,0.96838,0.98147,0.81112,0.61187,0.28899,0.92981,0.000702021,0.000702021,0.000702021
48,15207.3,0.65102,0.42862,0.95653,0.96227,0.96668,0.98167,0.80649,0.61255,0.28687,0.9267,0.000697521,0.000697521,0.000697521
49,15521.6,0.63832,0.41969,0.93885,0.96955,0.96465,0.98376,0.81752,0.59348,0.28057,0.92325,0.000693022,0.000693022,0.000693022
50,15834.9,0.64033,0.42894,0.9421,0.96942,0.97107,0.98454,0.8188,0.58504,0.2763,0.92205,0.000688522,0.000688522,0.000688522
51,16149.4,0.63137,0.41346,0.94387,0.97132,0.96488,0.98299,0.82405,0.59546,0.27973,0.93011,0.000684022,0.000684022,0.000684022
52,16469.6,0.6273,0.40818,0.94003,0.96454,0.97396,0.98232,0.81879,0.58786,0.27788,0.92376,0.000679523,0.000679523,0.000679523
53,16785.5,0.62181,0.41365,0.93827,0.97046,0.96789,0.98365,0.8159,0.59218,0.2801,0.92084,0.000675023,0.000675023,0.000675023
54,17099.8,0.63276,0.41359,0.9419,0.97271,0.97508,0.98478,0.81805,0.58562,0.27778,0.919,0.000670524,0.000670524,0.000670524
55,17414.1,0.61581,0.41589,0.93755,0.97103,0.96677,0.98124,0.81584,0.57398,0.29108,0.91783,0.000666024,0.000666024,0.000666024
56,17729,0.62105,0.41193,0.94102,0.97003,0.97202,0.98254,0.81456,0.57897,0.27781,0.9157,0.000661525,0.000661525,0.000661525
57,18040.8,0.61723,0.39456,0.9306,0.96827,0.97665,0.98159,0.83027,0.57201,0.27028,0.91707,0.000657025,0.000657025,0.000657025
58,18353.2,0.60939,0.40309,0.93107,0.97246,0.97149,0.98469,0.82842,0.5642,0.26727,0.91517,0.000652526,0.000652526,0.000652526
59,18666.5,0.60248,0.39436,0.93016,0.97071,0.977,0.98359,0.8312,0.56603,0.26731,0.91727,0.000648026,0.000648026,0.000648026
60,18978.7,0.60379,0.39823,0.93231,0.97304,0.9662,0.98184,0.82698,0.57051,0.2731,0.91447,0.000643527,0.000643527,0.000643527
61,19289.8,0.5973,0.39628,0.92889,0.96877,0.9712,0.98232,0.82839,0.56582,0.27235,0.91543,0.000639027,0.000639027,0.000639027
62,19602.2,0.58147,0.38527,0.91676,0.97545,0.9773,0.98384,0.8297,0.55971,0.26376,0.91235,0.000634527,0.000634527,0.000634527
63,19914.5,0.58544,0.39009,0.92846,0.97617,0.97511,0.98414,0.83225,0.5615,0.26316,0.91327,0.000630028,0.000630028,0.000630028
64,20226.7,0.59173,0.40174,0.92409,0.9671,0.97712,0.9807,0.82308,0.57276,0.27757,0.91414,0.000625528,0.000625528,0.000625528
65,20537.8,0.58457,0.44204,0.92643,0.96736,0.96966,0.98271,0.81716,0.55604,0.27303,0.91455,0.000621029,0.000621029,0.000621029
66,20850,0.5819,0.39031,0.91965,0.97418,0.97049,0.9808,0.82782,0.55055,0.2619,0.90885,0.000616529,0.000616529,0.000616529
67,21162.4,0.56933,0.39225,0.91547,0.97205,0.97588,0.9804,0.83352,0.54773,0.25753,0.90979,0.00061203,0.00061203,0.00061203
68,21473.6,0.56533,0.373,0.91286,0.97524,0.97809,0.97997,0.82874,0.54371,0.26854,0.90795,0.00060753,0.00060753,0.00060753
69,21785.1,0.56854,0.37371,0.91819,0.96691,0.97778,0.98322,0.83357,0.54033,0.25631,0.90897,0.000603031,0.000603031,0.000603031
70,22097.5,0.55618,0.36851,0.90566,0.97067,0.97634,0.98257,0.83831,0.53927,0.2545,0.9109,0.000598531,0.000598531,0.000598531
71,22409.9,0.55818,0.37103,0.91101,0.97385,0.97486,0.98285,0.84058,0.54517,0.25344,0.90791,0.000594031,0.000594031,0.000594031
72,22720.6,0.55654,0.38561,0.91158,0.97511,0.98003,0.98423,0.84234,0.53002,0.24971,0.90931,0.000589532,0.000589532,0.000589532
73,23032.3,0.54442,0.36851,0.90651,0.97634,0.97553,0.98389,0.84048,0.52609,0.24905,0.90642,0.000585032,0.000585032,0.000585032
74,23344.2,0.53706,0.36445,0.90315,0.97194,0.97938,0.98415,0.84286,0.5296,0.24795,0.90658,0.000580533,0.000580533,0.000580533
75,23655.5,0.53982,0.36432,0.90669,0.97192,0.97776,0.98294,0.84687,0.527,0.24784,0.90701,0.000576033,0.000576033,0.000576033
76,23966.8,0.53161,0.36529,0.90292,0.97575,0.97682,0.98615,0.8428,0.51946,0.24431,0.90239,0.000571534,0.000571534,0.000571534
77,24278.9,0.53869,0.37171,0.90557,0.97337,0.97476,0.9829,0.84227,0.51466,0.24933,0.9023,0.000567034,0.000567034,0.000567034
78,24591.1,0.52504,0.37228,0.90187,0.97018,0.97358,0.98127,0.84103,0.52546,0.26314,0.90995,0.000562535,0.000562535,0.000562535
79,24905,0.52876,0.36078,0.90171,0.9721,0.97993,0.98201,0.84036,0.51931,0.24469,0.90232,0.000558035,0.000558035,0.000558035
80,25217,0.54097,0.36367,0.90627,0.96893,0.97938,0.98235,0.84755,0.52004,0.24794,0.90227,0.000553536,0.000553536,0.000553536
81,25529.8,0.52434,0.36832,0.89559,0.97343,0.97865,0.98299,0.85052,0.50666,0.24709,0.90166,0.000549036,0.000549036,0.000549036
82,25841.5,0.51742,0.35602,0.89771,0.97262,0.98045,0.98534,0.84433,0.51582,0.24617,0.90513,0.000544536,0.000544536,0.000544536
83,26152.9,0.52155,0.35546,0.89616,0.97025,0.97577,0.9832,0.84823,0.51154,0.2486,0.90233,0.000540037,0.000540037,0.000540037
84,26465.1,0.5181,0.34363,0.90315,0.9719,0.97736,0.98464,0.85259,0.49799,0.23664,0.90146,0.000535537,0.000535537,0.000535537
85,26777.5,0.50892,0.34504,0.89379,0.97219,0.97448,0.98369,0.8517,0.50183,0.23984,0.9007,0.000531038,0.000531038,0.000531038
86,27088.5,0.49617,0.34163,0.88637,0.97364,0.97752,0.98364,0.85582,0.49991,0.23836,0.89958,0.000526538,0.000526538,0.000526538
87,27400.6,0.49405,0.34636,0.889,0.97678,0.97911,0.98439,0.85172,0.49657,0.24126,0.89672,0.000522039,0.000522039,0.000522039
88,27712.8,0.50209,0.34261,0.8898,0.97569,0.97872,0.98352,0.86148,0.48738,0.23219,0.89569,0.000517539,0.000517539,0.000517539
89,28024.9,0.50202,0.33998,0.89105,0.9763,0.97958,0.98242,0.85858,0.49019,0.23673,0.89914,0.00051304,0.00051304,0.00051304
90,28336.1,0.48336,0.33047,0.88275,0.97563,0.97681,0.98399,0.85808,0.48842,0.23652,0.89983,0.00050854,0.00050854,0.00050854
91,28647.9,0.4861,0.35195,0.88358,0.97723,0.9781,0.98593,0.856,0.48788,0.23614,0.89752,0.00050404,0.00050404,0.00050404
92,28960.2,0.48642,0.3411,0.88347,0.97346,0.98361,0.98539,0.86045,0.4907,0.23368,0.89889,0.000499541,0.000499541,0.000499541
93,29274.3,0.48475,0.33183,0.88457,0.97307,0.98063,0.98498,0.85496,0.4896,0.23509,0.89618,0.000495041,0.000495041,0.000495041
94,29586.4,0.49334,0.33799,0.88913,0.97448,0.97689,0.98374,0.85815,0.48852,0.23859,0.90025,0.000490542,0.000490542,0.000490542
95,29898.8,0.49371,0.34432,0.89121,0.97501,0.98079,0.98522,0.86462,0.48063,0.23525,0.89615,0.000486042,0.000486042,0.000486042
96,30211.4,0.47509,0.33235,0.87995,0.97405,0.98155,0.9841,0.8552,0.48416,0.23463,0.89728,0.000481543,0.000481543,0.000481543
97,30523.1,0.47875,0.33142,0.88286,0.97481,0.97884,0.98493,0.85925,0.48186,0.22918,0.89372,0.000477043,0.000477043,0.000477043
98,30834.3,0.48036,0.33332,0.88305,0.97171,0.97894,0.98402,0.85808,0.48339,0.23191,0.89597,0.000472544,0.000472544,0.000472544
99,31145.1,0.46956,0.32545,0.87693,0.97743,0.98179,0.98349,0.85901,0.47965,0.23269,0.89637,0.000468044,0.000468044,0.000468044
100,31456.8,0.47263,0.32639,0.87756,0.97419,0.97877,0.98478,0.86223,0.47898,0.2338,0.8966,0.000463545,0.000463545,0.000463545
101,31768,0.46225,0.31771,0.87566,0.97404,0.97492,0.98234,0.8598,0.4708,0.22531,0.8951,0.000459045,0.000459045,0.000459045
102,32079.3,0.4634,0.3183,0.87594,0.97325,0.981,0.98345,0.86796,0.47432,0.22715,0.89978,0.000454545,0.000454545,0.000454545
103,32390.5,0.46188,0.32076,0.8778,0.97488,0.9769,0.98432,0.86715,0.46547,0.22546,0.89638,0.000450046,0.000450046,0.000450046
104,32701.5,0.45228,0.31057,0.87595,0.97176,0.98045,0.98321,0.86448,0.48261,0.23204,0.89987,0.000445546,0.000445546,0.000445546
105,33012.9,0.44955,0.32325,0.87103,0.97385,0.97713,0.98445,0.86659,0.46488,0.22635,0.89698,0.000441047,0.000441047,0.000441047
106,33323.9,0.44827,0.32402,0.87018,0.97444,0.97886,0.98389,0.85988,0.46855,0.22895,0.89909,0.000436547,0.000436547,0.000436547
107,33635,0.44976,0.31402,0.87268,0.97542,0.97818,0.9825,0.86606,0.46576,0.22528,0.89725,0.000432048,0.000432048,0.000432048
108,33946.4,0.44284,0.30895,0.86661,0.97374,0.97906,0.98436,0.87116,0.46929,0.22446,0.90075,0.000427548,0.000427548,0.000427548
109,34257.6,0.464,0.31625,0.88001,0.97365,0.97788,0.98488,0.87385,0.46644,0.22532,0.89287,0.000423049,0.000423049,0.000423049
110,34569.5,0.44464,0.30882,0.87089,0.97702,0.98107,0.98381,0.87101,0.46587,0.22398,0.89685,0.000418549,0.000418549,0.000418549
111,34880.5,0.43391,0.31741,0.86414,0.97375,0.98258,0.98414,0.87323,0.45629,0.22,0.89713,0.000414049,0.000414049,0.000414049
112,35192.4,0.43395,0.30581,0.86819,0.97543,0.97785,0.98386,0.87546,0.44827,0.21711,0.89184,0.00040955,0.00040955,0.00040955
113,35503.9,0.42397,0.30654,0.86081,0.97333,0.97967,0.98297,0.86681,0.46382,0.22544,0.89877,0.00040505,0.00040505,0.00040505
114,35814.7,0.43035,0.30467,0.86318,0.97426,0.98195,0.98271,0.86771,0.45759,0.22486,0.89739,0.000400551,0.000400551,0.000400551
115,36125.9,0.43919,0.30765,0.86808,0.97479,0.9797,0.98494,0.87224,0.45107,0.21955,0.89348,0.000396051,0.000396051,0.000396051
116,36437.4,0.41901,0.3045,0.86498,0.9729,0.97937,0.98335,0.8634,0.45072,0.22262,0.89526,0.000391552,0.000391552,0.000391552
117,36748.4,0.42611,0.30239,0.86415,0.97389,0.97705,0.98272,0.86676,0.45416,0.22385,0.89645,0.000387052,0.000387052,0.000387052
