epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2542,1.19019,2.1259,1.18911,0.40078,0.69823,0.49803,0.34098,0.96927,1.23689,1.05245,0.000301438,0.000301438,0.000301438
2,170.819,1.0743,1.30131,1.10745,0.61845,0.71749,0.69601,0.48605,0.9602,0.98356,1.05313,0.000601446,0.000601446,0.000601446
3,251.428,1.05007,1.12963,1.09107,0.72456,0.78028,0.78453,0.55488,0.9635,0.79961,1.07031,0.000898455,0.000898455,0.000898455
4,332.07,1.03611,1.02864,1.09211,0.74349,0.81547,0.8405,0.60977,0.88335,0.71494,1.02559,0.000895501,0.000895501,0.000895501
5,413.186,0.96706,0.87984,1.06017,0.84871,0.82552,0.89458,0.64872,0.88641,0.6282,1.02701,0.000891002,0.000891002,0.000891002
6,493.722,0.95427,0.8462,1.06632,0.87394,0.85515,0.91906,0.67932,0.85354,0.58141,1.0175,0.000886502,0.000886502,0.000886502
7,574.11,0.92914,0.77744,1.052,0.87186,0.8486,0.91416,0.67382,0.85909,0.59551,1.02451,0.000882003,0.000882003,0.000882003
8,654.672,0.9343,0.76208,1.0549,0.92424,0.90064,0.95974,0.72145,0.82116,0.48137,1.01298,0.000877503,0.000877503,0.000877503
9,734.996,0.88618,0.70987,1.02995,0.93276,0.9172,0.96332,0.72949,0.82315,0.48511,1.00699,0.000873004,0.000873004,0.000873004
10,815.422,0.89683,0.69598,1.03395,0.9379,0.93294,0.96705,0.73026,0.82197,0.46755,1.00762,0.000868504,0.000868504,0.000868504
11,895.722,0.88118,0.66785,1.02821,0.94072,0.94062,0.97075,0.74019,0.81459,0.4557,1.00302,0.000864004,0.000864004,0.000864004
12,976.054,0.86462,0.66071,1.02142,0.92738,0.92877,0.96724,0.74594,0.78699,0.46942,0.99226,0.000859505,0.000859505,0.000859505
13,1056.29,0.84648,0.63887,1.01365,0.93437,0.92487,0.96971,0.75131,0.78156,0.45042,0.98829,0.000855005,0.000855005,0.000855005
14,1136.7,0.83478,0.62329,1.01114,0.93642,0.94101,0.9691,0.74777,0.78353,0.42475,0.98438,0.000850506,0.000850506,0.000850506
15,1217.05,0.8268,0.59533,1.00301,0.94057,0.94276,0.97383,0.76084,0.77419,0.41647,0.9845,0.000846006,0.000846006,0.000846006
16,1297.5,0.81166,0.59946,0.99803,0.95042,0.95008,0.97444,0.77011,0.73731,0.39306,0.96897,0.000841507,0.000841507,0.000841507
17,1377.77,0.79561,0.57462,0.99124,0.9514,0.94538,0.97414,0.76549,0.73738,0.40206,0.96915,0.000837007,0.000837007,0.000837007
18,1458.18,0.79319,0.56873,0.99688,0.95796,0.9411,0.97489,0.77291,0.73044,0.39531,0.96931,0.000832508,0.000832508,0.000832508
19,1538.72,0.77848,0.54725,0.98159,0.94889,0.96124,0.97889,0.78669,0.7088,0.38485,0.96508,0.000828008,0.000828008,0.000828008
20,1619.49,0.75146,0.55034,0.97759,0.94926,0.95087,0.97318,0.77373,0.72813,0.39081,0.96706,0.000823509,0.000823509,0.000823509
21,1700,0.7469,0.54725,0.97428,0.95887,0.95094,0.9775,0.78519,0.70454,0.37218,0.9619,0.000819009,0.000819009,0.000819009
22,1780.48,0.7519,0.53281,0.97459,0.95643,0.95261,0.97638,0.78579,0.70475,0.38295,0.96383,0.000814509,0.000814509,0.000814509
23,1860.92,0.7424,0.52957,0.97668,0.96877,0.9518,0.9813,0.79,0.70677,0.37017,0.96281,0.00081001,0.00081001,0.00081001
24,1941.22,0.73852,0.51969,0.96937,0.9545,0.9587,0.9784,0.79193,0.68976,0.37101,0.9539,0.00080551,0.00080551,0.00080551
25,2021.61,0.72297,0.51276,0.96279,0.96133,0.96312,0.97855,0.79586,0.67078,0.36032,0.94781,0.000801011,0.000801011,0.000801011
26,2101.89,0.6873,0.49299,0.94797,0.96591,0.96468,0.9805,0.80646,0.67498,0.34415,0.95128,0.000796511,0.000796511,0.000796511
27,2182.08,0.70594,0.49764,0.96105,0.96285,0.95405,0.97917,0.81001,0.66061,0.34827,0.94956,0.000792012,0.000792012,0.000792012
28,2262.35,0.70232,0.49049,0.9553,0.9615,0.96696,0.97965,0.80454,0.67385,0.34474,0.95621,0.000787512,0.000787512,0.000787512
29,2342.72,0.68255,0.48379,0.94762,0.96462,0.9548,0.97883,0.81045,0.64409,0.34271,0.93885,0.000783013,0.000783013,0.000783013
30,2422.81,0.70061,0.489,0.96124,0.96055,0.9653,0.97986,0.80359,0.65558,0.3453,0.94882,0.000778513,0.000778513,0.000778513
31,2503.08,0.68124,0.47408,0.94127,0.95784,0.95603,0.98058,0.81276,0.65473,0.35605,0.94453,0.000774013,0.000774013,0.000774013
32,2583.32,0.67193,0.47458,0.94176,0.96518,0.96251,0.97976,0.80694,0.65486,0.34976,0.94034,0.000769514,0.000769514,0.000769514
33,2663.59,0.65994,0.46829,0.93641,0.96167,0.96516,0.97943,0.81252,0.63594,0.33216,0.93874,0.000765014,0.000765014,0.000765014
34,2744,0.65564,0.45676,0.93566,0.96634,0.96375,0.98105,0.82451,0.61768,0.3262,0.93321,0.000760515,0.000760515,0.000760515
35,2824.48,0.63376,0.44807,0.92246,0.96352,0.96697,0.98098,0.82673,0.61895,0.32018,0.93162,0.000756015,0.000756015,0.000756015
36,2904.85,0.65775,0.45932,0.93656,0.9643,0.96303,0.98083,0.81748,0.62318,0.3259,0.93192,0.000751516,0.000751516,0.000751516
37,2985.02,0.62399,0.44467,0.92986,0.97028,0.96171,0.97852,0.81994,0.6229,0.32633,0.9348,0.000747016,0.000747016,0.000747016
38,3065.25,0.63614,0.45163,0.92811,0.95585,0.96726,0.98031,0.82271,0.62184,0.33126,0.93376,0.000742517,0.000742517,0.000742517
39,3145.54,0.63785,0.44606,0.93028,0.97428,0.9594,0.98301,0.83194,0.60226,0.31331,0.9265,0.000738017,0.000738017,0.000738017
40,3225.88,0.62049,0.43132,0.92602,0.96424,0.96669,0.98341,0.83046,0.60218,0.3146,0.93062,0.000733518,0.000733518,0.000733518
41,3306.17,0.60784,0.4241,0.91368,0.97174,0.95898,0.97973,0.82718,0.59715,0.31856,0.9333,0.000729018,0.000729018,0.000729018
42,3386.47,0.61963,0.42936,0.92126,0.96358,0.96614,0.97918,0.82654,0.60035,0.31871,0.9298,0.000724518,0.000724518,0.000724518
43,3466.72,0.59939,0.41094,0.91409,0.9691,0.9623,0.98227,0.83222,0.59401,0.3128,0.9233,0.000720019,0.000720019,0.000720019
44,3547.2,0.5818,0.41289,0.90749,0.96525,0.96844,0.97949,0.83586,0.57694,0.30657,0.92626,0.000715519,0.000715519,0.000715519
45,3627.67,0.60218,0.42432,0.91638,0.96755,0.96656,0.9813,0.83169,0.58009,0.3129,0.92268,0.00071102,0.00071102,0.00071102
46,3708.21,0.60509,0.4179,0.92126,0.959,0.97268,0.98001,0.83588,0.57983,0.3089,0.92111,0.00070652,0.00070652,0.00070652
47,3788.82,0.58236,0.4206,0.90739,0.96738,0.9707,0.98189,0.83454,0.58148,0.30691,0.92276,0.000702021,0.000702021,0.000702021
48,3869.28,0.56654,0.40405,0.90481,0.96939,0.96463,0.98156,0.84027,0.58182,0.31496,0.92364,0.000697521,0.000697521,0.000697521
49,3949.72,0.56129,0.39711,0.90364,0.9666,0.97144,0.98309,0.84351,0.5637,0.30723,0.91657,0.000693022,0.000693022,0.000693022
50,4030,0.57274,0.40561,0.90515,0.96835,0.96634,0.9821,0.83662,0.57547,0.30989,0.91763,0.000688522,0.000688522,0.000688522
51,4110.23,0.58437,0.41004,0.91267,0.9679,0.96837,0.98326,0.84675,0.56613,0.29905,0.92068,0.000684022,0.000684022,0.000684022
52,4190.44,0.57486,0.39756,0.90686,0.96984,0.96753,0.98091,0.84283,0.56312,0.30414,0.92077,0.000679523,0.000679523,0.000679523
53,4270.73,0.56172,0.38989,0.90061,0.9704,0.97439,0.9817,0.84789,0.5559,0.29233,0.91831,0.000675023,0.000675023,0.000675023
54,4351.15,0.56241,0.38957,0.90086,0.96978,0.97372,0.98239,0.84913,0.54627,0.28783,0.91357,0.000670524,0.000670524,0.000670524
55,4431.49,0.55399,0.38563,0.89717,0.97212,0.97171,0.98353,0.85005,0.55481,0.29121,0.91531,0.000666024,0.000666024,0.000666024
56,4511.87,0.54246,0.38343,0.89058,0.97546,0.96678,0.98112,0.84812,0.55376,0.29767,0.91835,0.000661525,0.000661525,0.000661525
