epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,930.598,1.06728,1.87328,1.22812,0.57532,0.71119,0.68177,0.46868,0.97933,1.12906,1.12331,0.000302739,0.000302739,0.000302739
2,1860.21,1.05518,1.58975,1.1983,0.65198,0.69901,0.73211,0.50686,0.95867,0.94598,1.10848,0.00060274,0.00060274,0.00060274
3,2779.23,1.06602,1.14649,1.2033,0.72338,0.78201,0.83981,0.57238,0.97096,1.06949,1.11143,0.000899742,0.000899742,0.000899742
4,3682.56,1.04095,1.10295,1.20455,0.66756,0.75329,0.79892,0.55871,0.92834,1.07435,1.11834,0.000895501,0.000895501,0.000895501
5,4582.68,1.04169,1.04843,1.19495,0.79995,0.82584,0.88323,0.62095,0.89036,0.78416,1.07622,0.000891002,0.000891002,0.000891002
6,5482.47,1.00858,0.91686,1.17326,0.88179,0.85432,0.92078,0.66752,0.8724,0.66428,1.05592,0.000886502,0.000886502,0.000886502
7,6382.03,0.99295,0.85606,1.17529,0.88406,0.839,0.90592,0.65376,0.87663,0.82269,1.0762,0.000882003,0.000882003,0.000882003
8,7285.01,0.97629,0.7807,1.15749,0.88495,0.86741,0.92125,0.67021,0.86536,0.70007,1.06868,0.000877503,0.000877503,0.000877503
9,8183.8,0.93944,0.76897,1.13656,0.91,0.82246,0.91616,0.66034,0.87995,0.60898,1.08533,0.000873004,0.000873004,0.000873004
10,9083.87,0.96283,0.74318,1.15199,0.90251,0.8713,0.93556,0.67469,0.87453,0.55318,1.07126,0.000868504,0.000868504,0.000868504
11,9984.14,0.95518,0.73297,1.14388,0.91912,0.88739,0.95034,0.69584,0.84239,0.52938,1.0559,0.000864004,0.000864004,0.000864004
12,10881.4,0.92622,0.70972,1.12552,0.91437,0.90388,0.9507,0.70178,0.83706,0.48229,1.05033,0.000859505,0.000859505,0.000859505
