epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,677.824,1.07749,1.81047,1.19219,0.55375,0.74237,0.63525,0.44318,0.92909,1.2583,1.0588,0.000302739,0.000302739,0.000302739
2,1323.07,1.06647,1.43473,1.18125,0.47497,0.45685,0.4622,0.29963,0.96871,1.70084,1.18415,0.00060274,0.00060274,0.00060274
3,1947.55,1.06827,1.32836,1.17912,0.75263,0.71891,0.8009,0.56442,0.93526,0.96458,1.06482,0.000899742,0.000899742,0.000899742
4,2570.62,1.05562,1.11541,1.17597,0.8028,0.76164,0.84169,0.58315,0.94663,0.80751,1.08288,0.000895501,0.000895501,0.000895501
5,3201.32,1.04246,1.05646,1.15872,0.80626,0.76409,0.83468,0.58982,0.9247,0.77125,1.06424,0.000891002,0.000891002,0.000891002
6,3812.93,1.00751,0.95854,1.14971,0.85996,0.8086,0.90138,0.65435,0.88127,0.60197,1.03573,0.000886502,0.000886502,0.000886502
7,4398.39,1.00595,0.9157,1.1481,0.81648,0.81155,0.88548,0.63865,0.88704,0.69295,1.03326,0.000882003,0.000882003,0.000882003
8,4985.14,0.98328,0.84771,1.12582,0.87333,0.85076,0.91966,0.65934,0.89818,0.57888,1.03529,0.000877503,0.000877503,0.000877503
9,5571.72,0.93738,0.77564,1.09778,0.87801,0.85568,0.9245,0.67014,0.87349,0.5236,1.02549,0.000873004,0.000873004,0.000873004
10,6158.93,0.96379,0.78934,1.1204,0.90073,0.8816,0.93923,0.68166,0.87487,0.52254,1.02793,0.000868504,0.000868504,0.000868504
11,6746.78,0.97105,0.76867,1.11715,0.89008,0.87786,0.93423,0.68505,0.85103,0.52217,1.02885,0.000864004,0.000864004,0.000864004
12,7334.07,0.93791,0.75224,1.095,0.91161,0.8991,0.94229,0.69059,0.84634,0.46681,1.02014,0.000859505,0.000859505,0.000859505
13,7922.15,0.94785,0.91393,1.10682,0.89906,0.88876,0.9417,0.68212,0.85637,0.57477,1.02457,0.000855005,0.000855005,0.000855005
14,8509.81,0.92274,0.73506,1.09557,0.91553,0.88247,0.94752,0.69416,0.83595,0.53734,1.01954,0.000850506,0.000850506,0.000850506
15,9097.78,0.91032,0.69989,1.08767,0.91463,0.91939,0.95324,0.70506,0.82237,0.4575,1.00674,0.000846006,0.000846006,0.000846006
16,9685.5,0.89685,0.66524,1.07737,0.91963,0.91754,0.95813,0.71618,0.80694,0.42621,0.99253,0.000841507,0.000841507,0.000841507
17,10273.6,0.89737,0.65679,1.0798,0.92624,0.90916,0.95845,0.71388,0.81957,0.4439,1.00385,0.000837007,0.000837007,0.000837007
18,10859.3,0.88986,0.6333,1.07502,0.92857,0.93273,0.9639,0.71631,0.81782,0.41838,1.00553,0.000832508,0.000832508,0.000832508
19,11446.3,0.88943,0.89054,1.07551,0.92325,0.91973,0.95892,0.71261,0.81167,0.4609,1.00853,0.000828008,0.000828008,0.000828008
20,12033.1,0.88283,0.65212,1.06881,0.91984,0.92321,0.95825,0.72351,0.79049,0.41903,0.98635,0.000823509,0.000823509,0.000823509
21,12619.5,0.8636,0.64149,1.0637,0.92005,0.92069,0.95581,0.71423,0.78832,0.44929,0.98837,0.000819009,0.000819009,0.000819009
22,13207.3,0.85795,0.64449,1.06466,0.93576,0.92817,0.96617,0.72627,0.77625,0.42334,0.983,0.000814509,0.000814509,0.000814509
23,13793.2,0.86933,0.61523,1.06649,0.93301,0.92529,0.96417,0.72742,0.79091,0.4064,0.98645,0.00081001,0.00081001,0.00081001
24,14380.2,0.85954,0.61858,1.06132,0.93497,0.93236,0.96501,0.73013,0.78982,0.41562,0.98657,0.00080551,0.00080551,0.00080551
25,14968.3,0.8494,0.58499,1.05553,0.93821,0.94089,0.96733,0.73672,0.77547,0.38461,0.98348,0.000801011,0.000801011,0.000801011
26,15555.1,0.83004,0.67056,1.04008,0.9466,0.94013,0.97012,0.73564,0.76605,0.407,0.98142,0.000796511,0.000796511,0.000796511
27,16142.7,0.84372,0.61607,1.05209,0.948,0.93836,0.9707,0.74174,0.75419,0.38361,0.97604,0.000792012,0.000792012,0.000792012
28,16730.9,0.79977,0.55654,1.02519,0.94531,0.93778,0.96859,0.74139,0.75619,0.37411,0.97708,0.000787512,0.000787512,0.000787512
29,17318.6,0.82216,0.57053,1.03872,0.94441,0.95028,0.97455,0.74979,0.75242,0.36988,0.97804,0.000783013,0.000783013,0.000783013
30,17906.6,0.80001,0.54947,1.03118,0.94309,0.94847,0.97276,0.75071,0.74241,0.36097,0.97184,0.000778513,0.000778513,0.000778513
31,18495.6,0.79754,0.55609,1.02301,0.94316,0.94241,0.97069,0.74792,0.74232,0.38128,0.97214,0.000774013,0.000774013,0.000774013
32,19083.9,0.78155,0.54335,1.01705,0.94996,0.94355,0.97321,0.75209,0.73556,0.35725,0.97147,0.000769514,0.000769514,0.000769514
33,19671.9,0.80784,0.56025,1.0348,0.94671,0.9414,0.97318,0.74707,0.75013,0.36252,0.97307,0.000765014,0.000765014,0.000765014
34,20261.1,0.78326,0.53895,1.02241,0.9439,0.95325,0.97385,0.749,0.72481,0.36045,0.96242,0.000760515,0.000760515,0.000760515
35,20849.9,0.78246,0.54993,1.01884,0.95316,0.93988,0.97553,0.75686,0.73348,0.35674,0.96706,0.000756015,0.000756015,0.000756015
36,21438.5,0.76681,0.53332,1.01172,0.95523,0.94129,0.97757,0.76673,0.71606,0.34304,0.96069,0.000751516,0.000751516,0.000751516
37,22027.8,0.77825,0.58442,1.01833,0.94089,0.95769,0.97824,0.76416,0.72259,0.36058,0.96116,0.000747016,0.000747016,0.000747016
38,22617.1,0.77396,0.53168,1.01328,0.95408,0.95223,0.97728,0.76603,0.7149,0.34342,0.95644,0.000742517,0.000742517,0.000742517
39,23205.5,0.76458,0.51056,1.01093,0.94896,0.9594,0.97666,0.76918,0.70308,0.34042,0.95329,0.000738017,0.000738017,0.000738017
40,23794.1,0.77859,0.53079,1.02518,0.95412,0.94663,0.97619,0.76194,0.71456,0.34461,0.95773,0.000733518,0.000733518,0.000733518
41,24383.8,0.75164,0.64363,1.002,0.95875,0.95184,0.97858,0.77024,0.69509,0.33605,0.95451,0.000729018,0.000729018,0.000729018
42,24972.5,0.74484,0.50024,1.00518,0.95175,0.95189,0.9761,0.77071,0.69946,0.33687,0.94916,0.000724518,0.000724518,0.000724518
43,25561.4,0.75534,0.60812,0.99958,0.95266,0.94551,0.97912,0.76702,0.71561,0.34487,0.95598,0.000720019,0.000720019,0.000720019
44,26148.9,0.72918,0.49047,0.99391,0.95937,0.95292,0.98024,0.7762,0.6952,0.32787,0.94681,0.000715519,0.000715519,0.000715519
45,26736.8,0.75006,0.58703,1.00634,0.95445,0.95151,0.9804,0.77002,0.69337,0.33367,0.9497,0.00071102,0.00071102,0.00071102
46,27324.6,0.74793,0.49323,1.00575,0.96218,0.95089,0.98034,0.77363,0.69479,0.33416,0.94903,0.00070652,0.00070652,0.00070652
47,27912.9,0.72346,0.47704,0.99168,0.95569,0.94777,0.97755,0.7704,0.68397,0.34676,0.9468,0.000702021,0.000702021,0.000702021
48,28500.2,0.73255,0.49666,1.0007,0.95668,0.94853,0.97873,0.77811,0.68249,0.3276,0.94587,0.000697521,0.000697521,0.000697521
49,29088.3,0.72951,0.64126,0.99236,0.96282,0.96198,0.97982,0.78444,0.67258,0.32269,0.94241,0.000693022,0.000693022,0.000693022
50,29676.5,0.71911,0.48163,0.98878,0.95845,0.95586,0.98259,0.7858,0.68547,0.31682,0.94269,0.000688522,0.000688522,0.000688522
51,30263.4,0.7123,0.47292,0.98969,0.95927,0.95896,0.97797,0.77964,0.65709,0.31485,0.94186,0.000684022,0.000684022,0.000684022
52,30851.6,0.70527,0.47837,0.98728,0.9531,0.96252,0.97888,0.77638,0.67972,0.31976,0.94495,0.000679523,0.000679523,0.000679523
53,31438.2,0.72364,0.47015,0.99178,0.96594,0.95104,0.98278,0.78838,0.67008,0.31279,0.93931,0.000675023,0.000675023,0.000675023
54,32026.1,0.71998,0.47589,0.99313,0.96594,0.9672,0.98387,0.78739,0.65928,0.30336,0.93805,0.000670524,0.000670524,0.000670524
