epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,602.669,0.69335,2.28699,1.02618,0.91365,0.9628,0.97899,0.82086,0.53351,0.94561,0.8967,0.000333019,0.000333019,0.000333019
2,1138.49,0.71205,0.9569,1.11515,0.96834,0.94322,0.96999,0.79215,0.59014,0.60466,0.99251,0.000663053,0.000663053,0.000663053
3,1673.65,0.71839,0.93218,1.14386,0.98268,0.96822,0.97814,0.83239,0.52948,0.5047,0.93488,0.000989788,0.000989788,0.000989788
4,2210.65,0.70836,0.90804,1.13647,0.98863,0.94677,0.97025,0.82356,0.53841,0.47737,0.9302,0.00098515,0.00098515,0.00098515
5,2747.09,0.70074,0.91594,1.12089,0.92891,0.95202,0.98355,0.82096,0.56733,0.72036,0.99756,0.0009802,0.0009802,0.0009802
6,3286.9,0.67675,0.76854,1.1122,0.9868,0.97433,0.98809,0.84516,0.51079,0.38741,0.9147,0.00097525,0.00097525,0.00097525
7,3829.58,0.64811,0.66011,1.08316,0.98997,0.97598,0.98763,0.84026,0.51968,0.49559,0.92021,0.0009703,0.0009703,0.0009703
8,4372.19,0.64929,0.6481,1.0843,0.99024,0.9764,0.98605,0.85979,0.49123,0.33162,0.88774,0.00096535,0.00096535,0.00096535
9,4912.02,0.61556,0.57986,1.06755,0.9907,0.97242,0.98733,0.8514,0.50552,0.33061,0.90282,0.0009604,0.0009604,0.0009604
10,5455.62,0.61317,0.57891,1.04888,0.98956,0.98016,0.98868,0.86214,0.47146,0.30877,0.87507,0.00095545,0.00095545,0.00095545
11,5998.61,0.62049,0.56749,1.05619,0.99307,0.98124,0.99301,0.86291,0.49653,0.28385,0.88843,0.0009505,0.0009505,0.0009505
12,6540.83,0.59352,0.56201,1.03303,0.98993,0.98544,0.99282,0.88275,0.47176,0.26948,0.87618,0.00094555,0.00094555,0.00094555
13,7084.61,0.59234,0.54202,1.03129,0.98896,0.98073,0.98667,0.86169,0.46989,0.32156,0.87242,0.0009406,0.0009406,0.0009406
14,7628.14,0.57575,0.51492,1.01247,0.99185,0.9782,0.99142,0.87054,0.46692,0.30958,0.87717,0.00093565,0.00093565,0.00093565
15,8171.35,0.56803,0.50024,1.0161,0.98569,0.9861,0.99323,0.87201,0.44736,0.28328,0.85529,0.0009307,0.0009307,0.0009307
16,8712.04,0.57396,0.503,1.01968,0.98983,0.98604,0.9934,0.87247,0.46191,0.27005,0.86697,0.00092575,0.00092575,0.00092575
17,9254.72,0.55797,0.51742,1.00064,0.99289,0.98974,0.99309,0.87072,0.46197,0.27998,0.86667,0.0009208,0.0009208,0.0009208
18,9797.44,0.56884,0.49605,1.02113,0.9914,0.98065,0.99289,0.86765,0.47607,0.3177,0.8805,0.00091585,0.00091585,0.00091585
19,10340.9,0.55667,0.45905,1.01371,0.99114,0.98212,0.99405,0.88028,0.44912,0.26589,0.85313,0.0009109,0.0009109,0.0009109
20,10884.9,0.57032,0.5145,1.02218,0.9928,0.98371,0.99136,0.88432,0.43359,0.25147,0.84744,0.00090595,0.00090595,0.00090595
21,11428.3,0.55855,0.48391,1.0171,0.9953,0.98662,0.99192,0.8783,0.4466,0.31129,0.8511,0.000901,0.000901,0.000901
22,11972,0.54907,0.47333,1.00584,0.9944,0.98357,0.99185,0.88274,0.44431,0.2481,0.84918,0.00089605,0.00089605,0.00089605
23,12512.7,0.54742,0.46577,0.99411,0.99258,0.99101,0.99393,0.87807,0.45061,0.25951,0.85852,0.0008911,0.0008911,0.0008911
24,13056.3,0.53997,0.46359,0.99758,0.995,0.99007,0.99399,0.87897,0.44168,0.27296,0.84458,0.00088615,0.00088615,0.00088615
25,13598.4,0.53901,0.46442,0.99577,0.99301,0.98955,0.99327,0.89036,0.42703,0.22425,0.83702,0.0008812,0.0008812,0.0008812
26,14141.2,0.53548,0.47382,0.99426,0.9929,0.98877,0.99245,0.87969,0.42393,0.26393,0.83711,0.00087625,0.00087625,0.00087625
27,14685.1,0.53115,0.4698,0.98409,0.99603,0.98872,0.99386,0.88589,0.42759,0.23006,0.8378,0.0008713,0.0008713,0.0008713
28,15229.1,0.54261,0.46489,0.99687,0.99116,0.98451,0.99309,0.87291,0.44909,0.29246,0.85717,0.00086635,0.00086635,0.00086635
29,15818.8,0.54223,0.45826,0.9952,0.99629,0.993,0.99339,0.88033,0.43047,0.25696,0.83673,0.0008614,0.0008614,0.0008614
30,16482.5,0.53616,0.48211,0.9945,0.99388,0.98913,0.99112,0.87957,0.43105,0.24435,0.84569,0.00085645,0.00085645,0.00085645
31,17111.1,0.53082,0.46302,0.99275,0.99204,0.9905,0.99267,0.87995,0.43273,0.23792,0.84445,0.0008515,0.0008515,0.0008515
32,17739.7,0.52222,0.43785,0.98674,0.99513,0.98799,0.99283,0.8908,0.41358,0.23337,0.82641,0.00084655,0.00084655,0.00084655
33,18376.6,0.52472,0.43028,0.98631,0.99249,0.99193,0.99366,0.88615,0.42623,0.23565,0.83341,0.0008416,0.0008416,0.0008416
34,18913.1,0.51698,0.45372,0.97527,0.99477,0.99249,0.99382,0.88791,0.42176,0.21167,0.8314,0.00083665,0.00083665,0.00083665
35,19454.6,0.50186,0.4135,0.96179,0.9944,0.99579,0.9937,0.898,0.40726,0.21496,0.82221,0.0008317,0.0008317,0.0008317
36,19992.9,0.51873,0.43915,0.97766,0.99367,0.99446,0.99404,0.89251,0.40404,0.20666,0.82063,0.00082675,0.00082675,0.00082675
37,20529.3,0.50843,0.41066,0.96845,0.98962,0.98874,0.99419,0.88928,0.41965,0.23085,0.83668,0.0008218,0.0008218,0.0008218
38,21069.2,0.50829,0.42288,0.96633,0.99317,0.98475,0.98949,0.87995,0.43475,0.26028,0.84177,0.00081685,0.00081685,0.00081685
39,21609.1,0.52387,0.436,0.98818,0.99499,0.99193,0.99413,0.89702,0.40801,0.21216,0.82111,0.0008119,0.0008119,0.0008119
40,22147.7,0.51547,0.43351,0.98083,0.99479,0.99552,0.99374,0.8962,0.40366,0.20336,0.81879,0.00080695,0.00080695,0.00080695
41,22686.6,0.50029,0.4129,0.96859,0.99507,0.98985,0.99358,0.89805,0.41057,0.20026,0.82294,0.000802,0.000802,0.000802
42,23227.9,0.50483,0.40948,0.96699,0.99534,0.9923,0.9945,0.90143,0.4071,0.1968,0.82253,0.00079705,0.00079705,0.00079705
43,23769.2,0.49902,0.41228,0.97059,0.9943,0.99195,0.99332,0.88119,0.43895,0.22822,0.85399,0.0007921,0.0007921,0.0007921
