epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8118,0.68352,1.56984,0.93931,0.97402,0.97186,0.98581,0.8473,0.57614,0.42581,0.89813,0.000330189,0.000330189,0.000330189
2,124.219,0.63714,0.63869,0.90955,0.97156,0.9737,0.98191,0.83124,0.61974,0.48111,0.92914,0.000660238,0.000660238,0.000660238
3,183.356,0.61771,0.55043,0.9033,0.99175,0.98971,0.99299,0.86044,0.56575,0.34087,0.89123,0.000986986,0.000986986,0.000986986
4,241.405,0.61853,0.53476,0.90324,0.98608,0.98812,0.99345,0.86776,0.54925,0.38917,0.87799,0.00098515,0.00098515,0.00098515
5,299.613,0.60434,0.52555,0.89885,0.98941,0.98599,0.99137,0.85922,0.57335,0.37639,0.88501,0.0009802,0.0009802,0.0009802
6,357.868,0.57714,0.49548,0.88799,0.9931,0.98652,0.99211,0.86367,0.56089,0.33594,0.88694,0.00097525,0.00097525,0.00097525
7,416.066,0.58915,0.49262,0.89388,0.98705,0.99131,0.99102,0.8745,0.52841,0.31753,0.87056,0.0009703,0.0009703,0.0009703
8,474.258,0.56392,0.48194,0.88616,0.97957,0.97849,0.99067,0.87114,0.52085,0.35134,0.86332,0.00096535,0.00096535,0.00096535
9,532.494,0.56438,0.46168,0.88615,0.99306,0.98826,0.99213,0.8719,0.54424,0.32584,0.88196,0.0009604,0.0009604,0.0009604
10,590.637,0.57085,0.45281,0.88668,0.99323,0.99388,0.99419,0.89013,0.50429,0.26783,0.85668,0.00095545,0.00095545,0.00095545
11,648.946,0.55676,0.44402,0.8815,0.99273,0.99428,0.99471,0.88077,0.51998,0.28925,0.85975,0.0009505,0.0009505,0.0009505
12,707.128,0.54115,0.43807,0.87699,0.99627,0.99089,0.99464,0.88565,0.52636,0.27192,0.8696,0.00094555,0.00094555,0.00094555
13,765.421,0.5383,0.43691,0.87387,0.9929,0.98601,0.99185,0.87484,0.52637,0.31117,0.86743,0.0009406,0.0009406,0.0009406
