epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7746,0.81563,2.35594,0.98684,0.91768,0.91065,0.97069,0.79538,0.68126,0.84869,0.90142,0.000325926,0.000325926,0.000325926
2,56.8916,0.60952,0.68951,0.87113,0.97204,0.97313,0.9885,0.84905,0.58346,0.40588,0.85744,0.000655996,0.000655996,0.000655996
3,84.0797,0.59788,0.58302,0.86803,0.97243,0.97709,0.98947,0.86151,0.56345,0.39557,0.858,0.000982766,0.000982766,0.000982766
4,108.905,0.58044,0.54737,0.86544,0.99232,0.98746,0.99299,0.87379,0.52492,0.31422,0.84704,0.00098515,0.00098515,0.00098515
5,133.114,0.56531,0.50689,0.85491,0.97743,0.98421,0.99252,0.88523,0.50067,0.33025,0.83801,0.0009802,0.0009802,0.0009802
6,158.104,0.53396,0.47044,0.85556,0.9959,0.98882,0.99492,0.89014,0.49874,0.28908,0.83778,0.00097525,0.00097525,0.00097525
7,181.79,0.53247,0.47009,0.85462,0.99233,0.98718,0.99341,0.88257,0.51159,0.28516,0.84061,0.0009703,0.0009703,0.0009703
8,205.002,0.52248,0.46296,0.85163,0.99234,0.98547,0.99469,0.89596,0.48432,0.29465,0.83939,0.00096535,0.00096535,0.00096535
9,228.721,0.5092,0.43454,0.85019,0.98658,0.97753,0.99462,0.88595,0.50324,0.29885,0.83995,0.0009604,0.0009604,0.0009604
10,254.522,0.4988,0.43685,0.85027,0.99659,0.9892,0.99464,0.88847,0.50661,0.27192,0.83899,0.00095545,0.00095545,0.00095545
11,277.58,0.49692,0.41609,0.84572,0.98943,0.98941,0.99368,0.88166,0.51784,0.27193,0.83647,0.0009505,0.0009505,0.0009505
12,300.565,0.48316,0.40825,0.84218,0.99452,0.98915,0.99489,0.90554,0.44478,0.23309,0.82614,0.00094555,0.00094555,0.00094555
13,323.506,0.48467,0.42207,0.84034,0.99687,0.99682,0.99497,0.89969,0.45522,0.22089,0.82638,0.0009406,0.0009406,0.0009406
14,346.432,0.46997,0.39119,0.84038,0.9919,0.99511,0.99485,0.90546,0.43958,0.22831,0.82386,0.00093565,0.00093565,0.00093565
